,jobtitle,jobdescription
199,Windows Desktop Engineer (Application Integration),"Trigyn's direct financial client has an immediate opening for Windows Desktop Engineer in Montreal, Canada.Description:The client is looking for an experienced and hands-on Windows Specialist to work in Browser Engineering team. The client oversee a suite of critical enterprise products (Internet Explorer, Google Chrome, Firefox, Acrobat, Flash Player, IM clients, JRE runtime, etc.) that exist globally on over 150,000 desktops. This role includes product and vendor management, integration work, tooling & telemetry, and customization to leverage our investment in these productsSkills Required: Strong and proven ability to work in the windows desktop environment and deliver enterprise solutions to scale. A good of understanding of how a modern browser works both from a desktop and networking perspective Extensive experience of enterprise application integration and support In-depth knowledge of Windows Operating System and Windows productivity tools. Hands-on Experience with Active Directory, Group Policy and / or AppSense Deep knowledge about software packaging tools and technologies (e.g. InstallShield, App-V sequencer, Wise) and deployment cycle Good scripting skills (e.g. feel comfortable with either VBScript/Java Script /PowerShell) Excellent verbal and written communication skills. Self-motivated and strong ability take on new challengesSkills Desired: Experience managing or implementing Internet or Intranet infrastructure Web Development experience Experience in programming .Net and C# applications Education Level: Bachelors Degree.NOTE: PLEASE ONLY APPLY OR CONTACT ME IF YOU ARE ABLE TO WORK IN CANADA. THANK YOU!NO THIRD PARTY CANDIDATES PERMITTED!TRIGYN TECHNOLOGIES, INC. is an EQUAL OPPORTUNITY EMPLOYER and has been in business for 30 years. TRIGYN is an ISO 9001:2008, ISO 27001:2013 (ISMS) and CMMI Level 3 certified company. TRIGYN is an E-Verify* Employer."
200,Application Programmer V Specialist,"Our client, one of the largest banks in the US with wealth management, investment banking, and international business, is seeking an Application Programmer.Location:  Houston, TX Position Type: Contract Description: -Development and support therein of the Openlink Endur trade capture and risk management system.  -This is the system of record for the global commodities desk.  -The job includes development of processes and reports using the proprietary AVS and JVS languages that enable trade booking to enable the desk to trade existing and new products, risk management and PL reporting to manage exposures, invoicing and confirmations to effectively manage back-office activities.  -Building and enhancing regulatory reports and processes to conform to evolving Dodd-Frank and EMIR regulations.  -Upgrade of the current system of record for commodities trading and risk management to newer version. Support of the metals EOD process for the metal trading desk. Business Rationale: -Our client is a vendor system and to be effective in developing and supporting this system required in-depth knowledge of its schema and the proprietary language of AVS.  -The niche skill sets required for this role makes it difficult to get suitable FTE without a prolonged training and development program.  -Lack of suitable skill set and experience will adversely impact the development and support of the commodities desk, and risk delaying time to market for new products that business wants to trade"
201,Network Engineer/ Architect,"TAD PGS, INC. is currently seeking a Network Engineer/ Architect for one of our clients in Laurel, MD. **This is a National Security position requiring U.S. Citizenship. ** **Candidate must possess an Active Secret Security Clearance** Company Description: Founded in 1942 to aid a country at war, we provide solutions to national security and scientific challenges with systems engineering and integration, research and development, and analysis. Our scientists, engineers, and analysts serve as trusted advisors and technical experts to the government, ensuring the reliability of complex technologies that safeguard our nation’s security and advance the frontiers of space. Job Summary: The Network Engineer/Architect role is responsible for systems and infrastructure engineering, operations, and administration to include information technology (IT) employment, analysis, design, development, deployment, integration and testing. This role will manage several classified networks spanning several classified computing facilities and services which support system development, engineering modeling, and real-time operations for numerous projects. The Network Engineer/Architect will lead such activities as proactive monitoring, growth and capacity planning, network documentations and will work within teams to build and deliver presentations to various audiences. This role will work with various Operating Systems and technologies including Cisco systems and NetApps. Major Responsibilities: Collect and analyze IT facilities, systems, network and infrastructure requirements to design, build, test, maintain and advance IT architecture supporting sector classified and unclassified operations.Support facility growth and enhancement through strategic planning, equipment and software selection.Reconfigure facility for new projects and equipment including computer installation, networking, and applications installation.Design, implement and manage proactive monitoring systems for entire sector data infrastructure and data centers.Manage and administer IT facilities, systems, and infrastructure throughout mission life-cycle phases.Provide fiscal, manpower and schedule management of IT projects for sector.Responsibility for sector Infosec posture.Perform and monitor facility security procedures to assure protection of all classified information.Manage and direct technical teams in support of sector operations.Participate in planning and budgetary efforts.Form relationships with facility users, establishing a collaborative approach to facility support.Computer setup, software installation, networking, troubleshooting, data collection, and general operations support.Proactively maintain computer systems, networks, and associated equipment in full operational conditionRequired Qualifications: Bachelor's Degree in Information Systems, Computer Engineering, Computer Science or a related field and at least 5 years in network engineering or 10 years of hands-on experience in a similar role without degree.Demonstrated IT systems engineering and administration experience designing and managing complex, large-scale, mission critical facilities, systems and infrastructure.Extensive knowledge of UNIX, Windows, Macintosh, Cisco, network and storage technologies.Self-starter with excellent written, oral, and interpersonal communications skills including the ability to manage, direct, and collaborate with technical staff and teams within a fast-paced, multi-tasking environment.Demonstrated track record of managing large IT projects to successful completion on budget and within schedule.Experience with network management and monitoring systems.Strong technical documentation and presentation skills.Ability to obtain a clearance. Highly Desired Qualifications: Demonstrated IT facilities, systems, network and infrastructure engineering and technical team management experience within a NASA or DoD program.Cisco CCNP or higher certification.Knowledge of classified computer facility operational procedures and NISPOM, DSS, or other DOD security regimes.TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. With more than 50 years of experience, TAD PGS, INC. has earned a reputation for accountability, a value that government agencies and prime contractors both demand and deserve.TAD PGS, INC. sources professionals for the full spectrum of federal positions, from administrative to management, and those contracts requiring extremely niche-oriented technical skills and the highest levels of security clearance."
203,Quantative Analyst,"Our client, one of the top US investment banks, offering securities underwriting and trading, mergers and acquisitions advice, research, private equity investment, and risk management products, is seeking a Quantative Analyst.   Location: New York, NY Position Type: Contract   Job Description : - The candidate will work with the Credit risk analyti cs team in developing and implementing Credit Risk stress RWA calculation methods for CCAR. -This role is to support the CCR projection methodology design and the proof concept development for testing the new methodology. -The role is crucial to the delivery of the go live solutions towards the end of the year for the CCR RWA and Loss projection under the CCAR.   Keys to this position: - Ability to work within a large team and meet tight deadlines - To understand RWA calculation methodology for a regulatory capital calculation purposes as well as for stress testing purposes. - To be able to explain technical topi cs to a wide audience - To build calculation tools and prototypes for proof of concept - Data gathering and analysis   Department Details : - Credit Analytics team is responsible for calculation of risk metrics for risk management, regulatory capital calculations and stress testing for the bank.   Qualifications : - Masters or a PhD in a quantitative area. - A deep understanding of financial derivatives. - Programming experience and familiarity with statistical software    "
204,Systems Engineer / Systems Integrator,"Systems Engineer Job type: FTELocation: Emeryville, CA JOB SUMMARYThe Systems Engineer will be involved in business critical technical projects that require solution assessment, design, and implementation activities for Windows, Linux, and storage infrastructure. This position will also provide production and on-call support for enterprise applications and infrastructure. The Systems Engineer will use skills in Windows and Linux servers on an industry leading virtual platform to maintain a highly-available, highly-scalable, and geographically diverse infrastructure to support business critical applications. ESSENTIAL JOB DUTIES & RESPONSIBILITIES• Manage, maintain, and optimize core IT systems and services including Active Directory, Windows & Linux servers, Virtual clustering, storage, and more.• Drive business critical projects working with closely with key stakeholders and leveraging vendors and consultants as appropriate.• Analyze and tune systems for performance, throughput, resource utilization, high availability and scalability.• Review of infrastructure systems periodically to ensure adequate capacity, performance levels, and upgrade requirements.• Provide day-to-day management of the systems infrastructure to ensure available and uptime meet business SLA’s.• Manage and maintain storage arrays to help ensure highest levels of uptime and performance.• Create and maintain high quality documentation.• Provide regular status updates on active projects.• Support and maintain remote desktop infrastructure to help ensure highest levels of uptime and performance.• Monitor and evaluate system performance and make recommendations to improve overall performance. Ensure production and pre-production servers/networks are proactively monitored. • Perform routine diagnostics and maintenance and install/implement new hardware or software.• Perform standard configuration, management, and maintenance tasks for Virtual platform and related file systems, storage, network, and applications.• Review and deploy Linux and Windows-based system related and vendor supplied application patches according to best practices.• Provide automation and tuning of enterprise systems and applications through use of scripting.• Deploy internal application software updates in multiple environments, from Development to Production, following established Change Control process.• Mentor systems administrators providing guidance, knowledge transfer, and technical direction.• Provide escalation support to other system administrators.• Monitor Linux and Windows server systems and associated applications.• Participate in disaster recovery and fault tolerance management and testing.• Troubleshoot and break/fix for hardware, operating system, and application software problems.• Provide ad hoc assistance, as needed. Skills & Experience• Bachelor’s degree in Computer Science, a related IT field, and/or 4+ years of experience working within a diverse IT infrastructure.• Four or more years of experience with Windows server administration and multi-tier application production operations.• Experience with Linux and Windows performance monitoring, tuning, troubleshooting, and security hardening.• Strong virtual infrastructure administration experience.• Strong storage systems management skills.• Strong networking capability (DNS, Wireless, Switches, VLANs, IPSEC tunnels, Firewalls, etc.).• Strong knowledge of SMTP, DHCP, DNS, LDAP, CIFS, NFS, SNMP, and Windows and Linux systems security.• Advanced knowledge and experience with Windows Server family – knowledge of scripting and automation techniques key.• Previous experience with Load Balancer a plus.• Strong knowledge of Microsoft Active Directory services.• Previous experience administering virtualized infrastructure.• Past experience supporting Citrix XenApp infrastructure.• Experience with managing Open Source software.• Scripting/automation experience a plus (e.g. PowerShell).• Ability to prioritize tasks and reach out for assistance when appropriate.• Demonstrated strong analytical and troubleshooting skills.• Ability to mentor and knowledge transfer to team members.• Must be able to comfortably communicate technical information to all levels of technical proficiency.• Self-motivated, self-directed, and attention to detail while working with data.• Ability to effectively prioritize and execute reporting tasks in a fast-paced, results-driven environment.• Experience working in a team-oriented, collaborative environment with a diverse team of business and IT staff. Candidate needs solid Citrix and storage (preferably NetApp) experienceNetApp (or other storage)Win stack (incl SQL DB)CitrixVmWare v5.5some LinuxAbility to wear multiple hatsMore of an engineer role more than a straight admin"
205,Sr. Software Engineer / Technical Lead,"Staff-Tech is accepting Sr. Software Engineer candidates that can serve as a technical lead for our direct client in Sacramento, CA. What you'll be doing: Leading custom application development and systems integration projects. Implementing Enterprise Content Management and Business Intelligence solutions, as well as customizing and extending the applications as needed to meet customer requirements. You will work with technologies such as SharePoint, Sitecore, and Microsoft BI suite among others. You will also be involved in the design and development of custom web and mobile solutions using the Microsoft .NET framework and associated products. Required Qualifications What you bring to the table: * 7+ years of professional experience as a software engineer / web developer working in a collaborative team environment * 3+ years of experience in a team lead or module lead role, managing the complete development, providing architecture and design decisions, providing direction and mentoring to junior software developers * 5+ years professional experience working with ASP.NET, C#, and SQL Server and/or Oracle in an n-tier environment. * 3+ years of experience with SharePoint, Sitecore, DotNetNuke or other Content Management Systems (CMS). * Experience with HTML, DHTML, CSS, AJAX, JavaScript, jQuery. * Experience with other CMS applications such as Drupal, OpenText, or Adobe CQ, and other technologies such as Java, PHP, MySQL, Flex, etc. is a definite plus. * The right candidate will also be open to work on other technologies as needed. * A passion for programming and problem solving. Extra kudos for: * Knowledge of emerging web trends and technologies such as HTML5, CSS3, node.js. * Experience with Section 508 (ADA) accessibility and web standards and compliance Cross-browser development issues Education: B.S or M.S. in computer science. What We Offer: * A great working environment with a strong focus on work-life balance. * Gym, company personal trainer and stocked fridge with drinks, snacks (healthy and some junk!) * Competitive salary and benefits, including health/dental plan, paid vacation and holidays * The ability to work on cool projects with great technology."
206,Data Architect - III,"Our client, major bank which monitors the monetary policy, financial supervision and the payments system, is seeking a Data Architect .   Location: New York, NY Position type: Contract   Required Skills: - 8+ years of solid experience in Informatica Powercenter (including versions 8.6 & above), Unix (AIX) shell scripting, & Oracle (including 10G & above) PL/SQL programming, SQL Server stored procedures - Experi ence with high volume of data - Experience in performance tuning of Informatica and relational databases esp ecially Oracle and SQL Server - Experience in working with multiple flat files as sources and targets - Experience in working with unstructured data using Informatica data transformation services (DTS) - Strong verbal, presentation, and written communication skills - Strong initiative, ability to self-manage and also work in a team environment   Top 5 Required Technical Skills: - Informatica Power Center 8.6/9.6.X/10.X skills - Oracle SQL/PLSQL and SQL Se rver stored procedure skills - AIX shell scripting/Wi ndows batch scripting skills -ETL architect skills - Informatica data transformation services (DTS) skills   Preferred Skills : - Informatica data quality (IDQ) - Informatica data masking - SQL Server Integration services (SSIS)   Responsibilities: - Work under the guidance of data architects or SMEs to analyze and understand the source and target data systems to valid ate the business requirements - Develop the Informatica jobs to transform and load data as per the specifications as req uired by the data architects - Apply Informatica best practices during development with a strong focus on reusa bility and better performance - Mentor others in In formatica usage when required - Produce clearly articulated do cumentation in data integration - Provide inpu ts to architecture and design - Keeps other designers, team leads and project managers well informed of progress and results"
207,Systems Engineer,"TAD PGS INC. is currently seeking a Systems Engineer for one of our clients in Palm Bay, FL. **Candidate must have a Top Secret/SCI Security Clearance.**Job Responsibilities:Responsible for providing system view into lidar operations enterprise, system operations modeling, system optimization, lidar data characterization and processing, lidar workflow development and optimizationResponsible for providing technical planning, system integration, verification and validation, cost and risk supportability, and effectiveness analyses for the Lidar Enterprise.Responsible for analysis at all levels of system life-cycle including: mission planning, field data collection, product processing/generation, product dissemination and sustaining operations.Ensure the logical and systematic conversion of customer or product requirements into total systems solutions that acknowledge technical, schedule, and cost constraints.Perform functional analysis, timeline analysis, detail trade studies, requirements allocation and interface definition studies to translate customer requirements into product specifications. Required Qualifications:BS/BA degree in Electrical, Mechanical, Computer, Systems Engineering (or similar technical discipline)Minimum of 6 years of System Engineering experience required.Minimum of 4 years of leadership experience in product/project management and/or geospatial production operations including collection and flight operations management.Desired Qualifications:Previous experience supporting commercial customers a plusCollaborative leadership style with a proven track record of building high performance teams.Excellent verbal and written communication skills in a technical information environment a plus.Ability to work multiple tasks in a fast paced environment and adapt quickly to changing situations a plusExperience with writing and producing proposals is desired.Experience with writing requirements and technical documentation.Leadership experience in a remote sensing product-type business with specific expertise in driving operational effectiveness.TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. With more than 50 years of experience, TAD PGS, INC. has earned a reputation for accountability, a value that government agencies and prime contractors both demand and deserve.TAD PGS, INC. sources professionals for the full spectrum of federal positions, from administrative to management, and those contracts requiring extremely niche-oriented technical skills and the highest levels of security clearance."
208,MySQL Database Architect/Administrator,"Exciting opportunity for an experienced medium to large scale production environment focused MySQL DBA to join one of the Silicon Valley's fastest growing companies development the next generation payments platform. The devices and platform form the backbone of millions of payment interactions between merchants and their customers daily, and the operations team works around the clock to ensure the systems remain operational, safe and secure. This MySQL DBA role will be a combination of scaling and sharding the existing databases, keep the databases running, and help engineer solutions around its strengths and weaknesses. There will be significant interface with the engineering team regarding production infrastructure, as well as consulting on and approve production schema changes. Key responsibilities include but are not limited to:* Monitor database reliability, availability, and performance* Improve MTTR via various strategies including backups, standbys, delayed slaves, etc.* Work with engineering on schema and query design to optimize performance* Oversee automated monitoring of production queries to feed back into application query improvements* Perform and/or automate regular DB operations like: data archiving/pruning, schema operations, schema statistics updates* Maintain, expand and interpret DB statistics monitoring* Be on call, either as first level, or last resort for data-related issues; as requiredBackground / Experience Requirement:* 5+ years of experience in production operations. Small company/startup strongly preferred* Extremely strong MySQL skills; experience in application-driven sharding is a plus* Strong Linux knowledge and some intermediate (or better) systems admin experience* Experience with larger OLTP MySQL installations (2+ TB per instance) preferredNice to have skills/experience include:* Experience with Percona Server* Experience with one of the major reporting/warehousing database solutions (e.g. BigQuery, RedShift, Vertica, CitusDB) a plus"
209,Test Lead,"Our client, a major US commercial broadcasting network, is seeking a Test Lead.   Location: New York, NY Position Type: Full Time   Job Description : - The Test Lead will be responsible for leading teams to deliver project(s) that span across one or more business units. - The Test Lead will manage resources, schedule, financials, and adhere to stage gate quality and SDLC control guidelines throughout the full systems development life cycle. - This also includes managing issues, risks and pro ject change requests to ensure successful and on-time project delivery. - The Test Lead will work in coordination with the Test Manager, Solution Delivery Executive (SDE), Application and Technical Architects, team leads and members and third party vendor to successfully manage and complete project deliverables.  - The selected candidate will also contribute to process improvement initiatives as it relates to improving project delivery. - The Test Lead has the authority to run the testing phases of project on a day-to-day basis on within established constraints. - The selected candidate will always retain ownership from a Project Management perspective. The - Test Lead will verify that the project produces the required deliverables of quality, within the specified constraints of time and cost, and to achieve the potential benefits defined in the business case. - The Test Lead is accountable for definition, communication, and execution for unit, string, integration, user acceptance, and regression test. - The Test Lead is accountable to execute and report on the status of the progress and must demonstrate exceptional leadership capabilities.   Responsibilities: Project Management: - Accountable for delivery of the Testing phase of multiple, simultaneous projects ensuring scope, schedule, and quality objects are attained - Define and communicate the Test Approach, standards, and tools for unit, process, integration, user acceptance, compare, and regression tests.  - Determine all testing environment requirements and tools. Drive test approach and test tool reviews with the Operations Engineers, ensuring the work products and tools satisfy the Change Control requirements. - Ensures quality standards through effective use of delivery methods and standards - Effectively applies methodologies and standards - Collaborates with business, technology, and process teams to build well-structured project plans that segments projects into pre-defined testing phases - Direct the effective execution of tasks/processes on a project for all testing phases - Collaborate with the Process & Build teams and Solution Integration Architect to create end-to-end test processes and be proficient in testing. - Document and execute test requirements, test scenarios, and test scripts - Coordinate and communicate any integrated testing requirements across functional areas and solution components. Assess the impact of the testing requirements to the technical architecture and specify the integration service requirements. - Ensure project documents are complete, current and stored appropriately. - Keep senior management informed of key issues and changes which may impact expected business results. - Determine methods and procedures on new assignments, and provide guidance and assistance to senior project manager. - Validate the Requirements Traceability Matrix (Test Requirements) and Test Model (TCCS) - Manage defect resolution of the system defects; enable teams involved in testing and defect resolution with information to prioritize and schedule work - Align process and business resources for Integration Test and UAT. Ensure the timely business validation of actual testing results and participate in the defect management (triage) process - Communicate regression testing requirements to the project team and teams - Work independently, flexible hours as neeed by the project and be service oriented - Act as a subject matter expert on various areas and an advocate in adopting new best practices and processes. - Identify opportunities for improvement and lead implementation of changes. - Facilitate team meetings effectively. - Keep project team members informed of changes. - Identify and obtain resources needed and assign to individuals. - Mentor team members, motive team to succeed and give recognition for results. - Complete all appropriate testing documentation required by the other project teams and Group IM – e.g., test completion memos - Define details of testing work and test reporting processes. - Provide status on testing to project management - Perform performance and operational readiness tests - Fix solution and development problems from performance test - Set-up, maintain and train the project on the Testing tool   Relationship Management: - Lead business and QA analysts on a per-project basis in extracting requirements for the external stakeholders, internal business representatives, and software development teams.  - Motivates and builds collaborative teams who are dedicated to project delivery. - Collaborates with the Business Relationship Manager when interfacing with external business partners, internal business area experts, business analysts and software development teams. - Sets expectations among these groups regarding scope, timeline and quality of deliverables.  - Works effectively with all groups to build work breakdown structures (WBS), develop project plans and update project status.   Resource Management: - Assists in identifying the skills and resources needed for each stage in the Testing Phase.  - Provides resource requirements per project and motivates and manages those resources over the project duration.   Skills/Experience Required: - At least 7 years of demonstrated experience managing a portfolio of complex initiatives that spans multiple lines of business.  - Demonstrated ability to liaise with Steering committees, VPs, Directors, project sponsors and strategic partners. - Proven success in an Executive leadership role, managing large projects approximately ($1-2 million), with a fortune 500 consulting company.   - Demonstrated ability to manage all aspects of multiple related projects to ensure the overall program is aligned to and directly supports business & IT strategic objectives. - 5+ years of strong Project Delivery experience with strong knowledge in ERP Enterprise solutions (preferred), technologies and process integration. - 3+ years of experience in a Major Consulting firm is strongly preferred. - Demonstrated ability in leading/driving project teams; 25+ on/off shore resources. - Proven success in providing on site leadership for project team by building and motivating team members to meet project goals, adhering to their responsibilities and project milestones. - Performance Reviews and Staff Development; monitor the performance of staff - Proven full Project Lifecycle ownership and solid previous experience in developing and deploying templates for medium to large size implementations to ensure predictability and consistency across the Portfolio. - Established practices, templates, policies, tools and partnerships to expend and mature these capabilities for the organization. - Excellent experience in SDLC Methodologies, Agile, SCRUM, SDLC / Waterfall, especially Testing Methodology and best practices. - Established track record in defining success criteria, metrics, test and deployment management methodologies. - Possess strong leadership, diplomatic and motivational skills including the ability to lead up, across, and down multiple business and technology organizations. - Proven ability to work creatively and analytically in a problem-solving environment demonstrating teamwork, innovation and excellence. - Build and maintain relationships by engaging business leaders to establish creditability, solve problems, build consensus and achieve objectives. - Excellent leadership, communication (written, verbal, and presentation) and interpersonal skills. - Self-motivated, decisive, with the ability to adapt to change and competing demands. - Strong functional and technical knowledge. - Managed process improvement initiatives assessing current and future state solutions contributing to improving the success of the Project Portfolio. - Research best practices within and outside the organization to establish benchmark data, and use continuous process improvement disciplines to achieve results. - Acted as an internal quality control check for all projects; stage gating and specifically test and deployment management activities across the Portfolio driving consistency.   Functional understanding of one or more of the following business areas preferred: - Television Distribution which included Broadcast Management - Content/Service Creation which included Program Production - Content/Service Aggregation which included Program Scheduling, Sales Planning and Sales - Consumer Interface which included Ratings Research and Sales Reconciliation - Enterprise Management which included Asset Management, Financial Management and HR   Application delivery experience in one or more of the following areas: - Package applications using ERP, or Multi-media applications such as PilatMedia IBMS, or Xytech Enterprise - Custom applications using C#.NET, VB.NET, ASP.NET. - Tools: MS Team Foundation Server (TFS), Visual Studio, HP Quality Center (HPQC) & Loadrunner , MS Project, Excel, Word, and PowerPoint; CA Clarity PPM, ServiceNow   Educational Requirements: - Undergraduate degree in Computer Science, Information Technology, Business (Accounting/Finance/Economics).  Graduate Degree is a plus. - Certification in Project Management PMI, Prince or equivalent is a plus.  "
210,Software Engineer-Graphics Interface Development,"TAD PGS Inc. is currently seeking a Software Engineer-Graphics Interface Development for one of our clients in Poway, CA.Job Description: Software Engineer specifically for Graphics Interfaces that will join our Software Engineering group. This team creates and releases all of the software for the company. Job Responsibilities:Determines approaches/solutions for the design, development and/or modification of specific programs or projects for enterprise-wide end-user, system level, and data management software applications.Involved in planning of application development and deployment as well as responsible for meeting software compliance standards on specific programs or projects.Develops graphics designs and algorithms to extend existing in-house framework.Assists in the creation of the next generation of RPA/UAV and sensor graphics interfaces.Works with experts in the field of 3D maps and stunning graphics engines.Basic Hiring Criteria:Bachelor’s degree, masters degree or PhD in computer science, information systems and progressive software development experience as follows; 4+ years of experience with a bachelor’s degree or two or more years of experience with a masters degree.Desired Qualifications:Must have a complete understanding of software development concepts, principles, and theory and demonstrate complete understanding and application of programming and analysis concepts.Must possess the ability to understand new concepts quickly and apply them accurately throughout an evolving environment.Ability to organize, schedule, and coordinate work phases and, determine the appropriate approach at the task level or, with assistance, at the project level and to provide solutions to a range of complex problems.Must have strong communication, computer, documentation, presentation, and interpersonal skills, ability to work independently and as part of a team; and, lead a team of less experienced professional employees on semi-routine tasks. TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. With more than 50 years of experience, TAD PGS, INC. has earned a reputation for accountability, a value that government agencies and prime contractors both demand and deserve.TAD PGS, INC. sources professionals for the full spectrum of federal positions, from administrative to management, and those contracts requiring extremely niche-oriented technical skills and the highest levels of security clearance."
212,Microstrategy Developer,"Our client, one of the largest financial services firms, is seeking a Microstrategy Developer. Location:  New York, NY Position Type: Contract Key Responsibilities: -Interaction with business and team lead to understand the business requirements -Produce high quality Technical & Release documents -Design and develop proof of concepts. -BI Developer is responsible for report and BI design and development including; dashboards, data visualization, charts, graphs, data migration, ad-hoc reporting, and data validation. -Provide technical walk through to various stake holders (QA Team, UAT Team, etc) -Assists in the training of end users or technical support staff to use applications. -Ability to define problems collects data, establish facts, and draw valid conclusions. Uses intuition and experience to complement data -Participates in meetings, seminars, and training sessions to stay apprised of new development technologies. Development Value: -Opportunity working with a multi-layered organization focused purely on BI and Analytics technologies across reporting, warehousing and toolset development -The role will provide an opportunity to work in nest in class analytics team with high learning curve. Knowledge/Experience: -Experience in Microstrategy Project configuration, security, reports, dashboards, interactive dashboards, mobile configuration. -Experience in Analysis, Design, Development, Testing and Implementation (all phase of software development life cycle - SDLC) -Basic Understanding on Microstrategy SDK Implementation -Good knowledge of SQL and data warehousing concepts -Excellent functional, analytical, interpersonal and communication skills -Knowledge on Financial sector Skills: -5-7 years of experience in MicroStrategy schema definition, design, implementation ,maintenance and Report and Dashboard development -Very strong SQL skills -Added Advantage -exposure of any one reporting tools will - Qlikview, Business Objects -Good understanding of SDLC Qualifications: -Bachelors degree in Engineering/Computers Competencies: -Must be a self-starter requiring minimal supervision -Excellent communication, interpersonal and organizational skills; -Able to handle diverse situations, multiple projects and rapidly changing priorities; -Attention to Detail -Time zone flexible"
213,Business Analyst - Business Analyst healthcare,"Job Description: Experience in quality/risk adjustment.. 8+ years experience in requirements gathering/documentation and testing required. Experience in healthcare payer organizations highly desirable.Required Skills: BUSINESS ANALYST. Don't hesitate! Submit your resume today. SMCI is an EEO employer. All qualified applicants will receive consideration without regard to race, color, religion, sex, pregnancy, national origin, disability, age, genetic information, veteran status, sexual orientation and identity, AIDS/HIV, medical condition, political activities or affiliations, or status as a victim of domestic violence, assault, or stalking. (No third parties, please)(H1 sponsorship currently unavailable)(Local candidates only, please)"
215,Directory Services Engineer/ Active Directory SME,"Our client is seeking a Directory Services Engineer/ Active Directory SME.   Location : New York, NY Position Type: Full Time   Job Description : - La rge Hedge fund is looking for a Directory Services Engineer / Active Directory SME.  - The position will be focused on Active Directory Engineering and PowerShell Automation.  - Senior Active Directory Services Engineer is responsible for daily management of AD, AD Federated Security Services [ADFS 2.0], IdM solutions [3rd party or homegrown ] and other services participating on the authentication infrastructure. - Candidate MUST have strong Power Shell scripting experience as well as operational responsibility over the Active Director y, DNS, DHCP and PKI services. - In addition to the daily management, will also be involved in initiatives, as project leader or technical resource in order to participate on creating and deploying new solutions, or to improve existing ones.   Responsibilities & Duties : - Run operations of the Directory Services infrastructure and support problem solving for directories, applications and other solutions owned by the Directory Services team, lead the problem management for recurrent or complex issues. - Contribute to the development of Directory Services automation processes for support of daily operations and the gathering of directory performance information. - Provide an accurate analysis of business requirements and select the most appropriate solution to fulfill them. - Based on personal expertise, review current Directory Services solutions and propose improvements; participate to their deployments and document them at all stages of evolution. - Manage ""crisis situations"" to a satisfactory conclusion and under stress. - Follow all set procedures and policies pertaining to the Change Management system.   T echnical Skills, Experience:      - At least 3 to 5 years of relevant practical experience managing/troubleshooting authentication services - Understanding of Kerberos/NTLM - Knowledge of LDAP – Connectivity to querying - Knowledge of Active Directory, DNS, DHCP. - Knowledge of Windows Server/Client OS. - Experience with implementation of backup/restore and disaster and recovery strategies. - Understanding of security concepts related to Public Key Infrastructures. - Expert level knowledge of PowerShell. - Understanding of identity lifecycle solutions and experience like MIIS/IDM/IAM. - At least 5 plus years of strong PowerShell Automation Experience - At least 5 years of advanced level Active Directory experience   Profile : - Demonstrate the ability to work in an open way, willingness to share knowledge and resources and to educate others within a global team. - Be interested in and always keep progress in IT infrastructure technology. - Good documentation and presentation skills. - Ability to work independently."
